Sample	TYPE	N_READS	Estimated_Coverage
032i	PAIRED	32022388	71.1202
053i	PAIRED	33648050	76.4101
10100	PAIRED	17621862	54.6992
10880	PAIRED	11735018	33.3728
117	PAIRED	40323178	88.8557
12.0.007i	PAIRED	25260190	56.6257
12.0.009i	PAIRED	25443490	58.0889
12.0.012i	PAIRED	27352810	58.4776
12.0.051i	PAIRED	10667632	28.83
12.0.073	PAIRED	11070268	29.2422
12.0.194	PAIRED	12156262	31.7228
12.0.321	PAIRED	14837590	36.9686
12.0.326	PAIRED	28308624	62.6346
12.0.345	PAIRED	28583538	64.5277
12.0.347	PAIRED	10791934	28.3427
12.0.368	PAIRED	29238016	65.0438
12.0.534i	PAIRED	29894314	66.5019
12.0.535i	PAIRED	11848910	30.8041
12.0.555i	PAIRED	32173514	69.3292
12.0.642i	PAIRED	32283404	72.4701
12.1.014	PAIRED	11019712	28.9738
12.1.037	PAIRED	12409434	31.9012
12.1.078	PAIRED	15909236	40.5256
12.1.181	PAIRED	13837266	36.0544
12.1.205	PAIRED	14391126	38.0044
12.1.217	PAIRED	14895582	38.7222
12.1.225	PAIRED	12932310	34.5357
12.1.234	PAIRED	14278444	37.7391
12.1.241	PAIRED	12168934	31.1912
12.1.291	PAIRED	13233618	35.1572
127	PAIRED	23157544	53.7345
13FM-16-1	PAIRED	18328660	52.7881
13FM-24-1	PAIRED	22278860	63.1247
13FM-3-2	PAIRED	19391846	56.1671
13FM-5-1	PAIRED	17793304	52.4517
13FM-9-1	PAIRED	13319812	39.0414
169	PAIRED	26834860	60.3581
204	PAIRED	22539026	52.1827
205	PAIRED	20292168	46.937
363	PAIRED	27923236	65.1875
364	PAIRED	13272476	37.3151
37	PAIRED	38949506	87.2632
658	PAIRED	14953646	35.5676
678	PAIRED	11201056	31.7854
70-15	SINGLE	17986106	23.5165
76_3	PAIRED	23527302	47.4531
82_0835	PAIRED	34245220	66.756
90_4_1	PAIRED	30297046	59.6726
98-06	PAIRED	79796260	75.5041
AG0004	PAIRED	25101332	69.1548
AG002	PAIRED	6062418	27.2716
AG006	PAIRED	3208098	15.1851
AG032	PAIRED	4979048	23.0678
AG038	PAIRED	4174620	19.816
AG039	PAIRED	4186794	19.766
AG059	PAIRED	4195502	19.9923
AG098	PAIRED	4486598	20.9195
A-PH-38	PAIRED	16986744	47.5456
A-PH-71	PAIRED	28470074	83.2152
A-PHL-39-	PAIRED	23751280	62.67
A-PHL-64	PAIRED	21878312	62.9905
Arcadia	PAIRED	4346480	19.6953
ARG-60	PAIRED	19439096	56.0591
ARG-61	PAIRED	20695612	59.5515
AV1-1-1	PAIRED	26967180	65.5586
B157	PAIRED	35819406	67.598
B51	PAIRED	14181234	65.2964
B71	PAIRED	40091244	166.975
BD0024	SINGLE	20477646	40.9788
Bd8401	PAIRED	4571594	22.6838
BdBar16-1	PAIRED	18007020	62.3233
BF17	PAIRED	20409172	39.6402
BF32	PAIRED	26552732	51.3731
BF48	PAIRED	24009820	45.8493
BF5	PAIRED	27174416	52.1962
BJ08-8	PAIRED	21347208	61.1727
BJ08-8-1	PAIRED	21347208	61.1727
BJ-90-611	PAIRED	14189946	27.4682
Bm88324	PAIRED	6695674	32.3003
BN0123	PAIRED	15839040	47.1117
BN0202	PAIRED	17212170	50.1948
BN0252	PAIRED	21673918	64.4286
BN0293	PAIRED	21413456	41.7226
BR0026	SINGLE	2762103	6.60554
Br116.5	PAIRED	5645654	30.3335
Br118.2	PAIRED	4405388	24.0676
BR32	SINGLE	24574894	31.5708
Br35	PAIRED	4873282	27.5045
Br48	PAIRED	56563656	60.6002
Br62	PAIRED	24580520	44.8019
Br7	PAIRED	11335942	33.8075
Br80	PAIRED	11797540	51.9162
BTAr-A1	PAIRED	49120148	129.911
BTBa-B1	PAIRED	41859798	94.6448
BTBa-B2	PAIRED	50192148	118.479
BTGP1_b	PAIRED	66149730	142.549
BTGS6e	PAIRED	56368572	127.57
BTGS6f	PAIRED	48089908	106.116
BTGS6g	PAIRED	76006216	157.135
BTGS6h	PAIRED	82376638	169.335
BTJP4_1	PAIRED	49466440	116.548
BTJP4_11	PAIRED	59874288	126.953
BTJP4_12	PAIRED	90748332	186.941
BTJP4_15	PAIRED	59516880	140.423
BTJP4_16	PAIRED	80153280	162.802
BTJP4_18	PAIRED	52260238	115.635
BTJP4_2	PAIRED	41392060	98.4149
BTJP4_3	PAIRED	78889816	161.762
BTJP4_5	PAIRED	43875010	99.188
BTJP4_6	PAIRED	59803028	128.755
BTJP4_9	PAIRED	86334300	199.473
BTMP_S13_1	PAIRED	43885248	100.649
