Sample	Estimated_Coverage
032i	71.1202
053i	76.4101
10100	54.6992
10880	33.3728
117	88.8557
12.0.007i	56.6257
12.0.009i	58.0889
12.0.012i	58.4776
12.0.051i	28.83
12.0.073	29.2422
12.0.194	31.7228
12.0.321	36.9686
12.0.326	62.6346
12.0.345	64.5277
12.0.347	28.3427
12.0.368	65.0438
12.0.534i	66.5019
12.0.535i	30.8041
12.0.555i	69.3292
12.0.642i	72.4701
12.1.014	28.9738
12.1.037	31.9012
12.1.078	40.5256
12.1.181	36.0544
12.1.205	38.0044
12.1.217	38.7222
12.1.225	34.5357
12.1.234	37.7391
12.1.241	31.1912
12.1.291	35.1572
127	53.7345
13FM-16-1	52.7881
13FM-24-1	63.1247
13FM-3-2	56.1671
13FM-5-1	52.4517
13FM-9-1	39.0414
169	60.3581
204	52.1827
205	46.937
363	65.1875
364	37.3151
37	87.2632
658	35.5676
678	31.7854
70-15	23.5165
76_3	47.4531
82_0835	66.756
90_4_1	59.6726
98-06	75.5041
AG0004	69.1548
AG002	27.2716
AG006	15.1851
AG032	23.0678
AG038	19.816
AG039	19.766
AG059	19.9923
AG098	20.9195
A-PH-38	47.5456
A-PH-71	83.2152
A-PHL-39-	62.67
A-PHL-64	62.9905
Arcadia	19.6953
ARG-60	56.0591
ARG-61	59.5515
AV1-1-1	65.5586
B157	67.598
B51	65.2964
B71	166.975
BD0024	40.9788
Bd8401	22.6838
BdBar16-1	62.3233
BF17	39.6402
BF32	51.3731
BF48	45.8493
BF5	52.1962
BJ08-8	61.1727
BJ08-8-1	61.1727
BJ-90-611	27.4682
Bm88324	32.3003
BN0123	47.1117
BN0202	50.1948
BN0252	64.4286
BN0293	41.7226
BR0026	6.60554
Br116.5	30.3335
Br118.2	24.0676
BR32	31.5708
Br35	27.5045
Br48	60.6002
Br62	44.8019
Br7	33.8075
Br80	51.9162
BTAr-A1	129.911
BTBa-B1	94.6448
BTBa-B2	118.479
BTGP1_b	142.549
BTGS6e	127.57
BTGS6f	106.116
BTGS6g	157.135
BTGS6h	169.335
BTJP4_1	116.548
BTJP4_11	126.953
BTJP4_12	186.941
BTJP4_15	140.423
BTJP4_16	162.802
BTJP4_18	115.635
BTJP4_2	98.4149
BTJP4_3	161.762
BTJP4_5	99.188
BTJP4_6	128.755
BTJP4_9	199.473
BTMP_S13_1	100.649
BTMP_S13_2	249.715
BTTrp-5	145.503
BTTrp-6	220.676
CD0065	58.5426
CD0073-1	50.5147
CD0142	78.2668
CD0203	54.0508
CH0043	83.5827
CH0052	34.3505
CH0063	58.3143
CH0072	63.2593
CH0092	47.5143
CH0328	12.567
CH0333	54.5097
CH0452	48.8733
CH0461	77.7308
CH0532	11.9685
CH0549	40.4411
CH0595	12.9139
CH0680	11.354
CH0689	12.4577
CH0701	11.9926
